abandonnement	abandonment
academie	academy
acetique	acetic
acetylene	acetylene
acide	acid
acidite	acidity
acoustique	acoustic
acoustique	acoustics
acquiescence	acquiescence
acrobate	acrobat
adaptation	adaptation
adhesif	adhesive
adhesion	adhesion
admiration	admiration
admirer	admire
adulation	adulation
adulte	adult
adverbe	adverb
aerobie	aerobic
aerodynamique	aerodynamics
aeronautique	aeronautics
aeroplane	aeroplane
affable	affable
affection	affection
affiliation	affiliation
affluent	affluent
aggression	aggression
agitation	agitation
agoniser	agonize
agronomie	agronomy
aider	aide
aiouez	iowa
alcali	alkali
alcove	alcove
alerte	alert
alexis	alexis
alignement	alignment
allee	allee
allonge	lunge
alpin	alpine
altercation	altercation
amandine	amandine
amasser	amass
amateur	amateur
ambiance	ambiance
ambulance	ambulance
amendement	amendment
amendes	amends
amenite	amenities
amenite	amenity
amiraute	admiralty
amour	amour
amputee	amputee
amunition	ammunition
anaerobie	anaerobic
analyste	analyst
anarchiste	anarchist
anatole	anatole
anatomie	anatomy
animosite	animosity
annette	annette
annexe	annex
annuite	annuity
anthere	anther
antibiotique	antibiotic
antigene	antigen
apache	apache
apathie	apathy
aperitif	aperitif
apologetique	apologetic
apologie	apology
apoplectique	apoplectic
apostrophe	apostrophe
apparent	apparent
apparition	apparition
appointe	appointee
appreciable	appreciable
appreciation	appreciation
apres	apres
apte	apt
arabesque	arabesque
arachnide	arachnid
arbitrage	arbitrage
arbre	arbor
arcade	arcade
architecte	architect
archive	archive
archives	archive
are	are
ariane	ariane
aristocrate	aristocrat
aristocratique	aristocratic
armistice	armistice
armoire	armoire
arrangement	arrangement
arrondissement	arrondissement
artifice	artifice
artique	arctic
artisan	artisan
artiste	artist
artistique	artistic
aspirant	aspirant
assemblage	assemblage
assistant	assistant
assister	assist
asterix	asterix
atelier	atelier
atheiste	atheist
atrophie	atrophy
attache	attache
attachement	attachment
attaque	attack
atteinte	taint
attitude	attitude
audience	audience
auguste	auguste
auteur	auteur
automatique	automatic
automobile	automobile
avenue	avenue
aviateur	aviator
aviation	aviation
baccalaureat	baccalaureate
bagatelle	bagatelle
baies	bays
baillier	bail
ballet	ballet
ballon	ballon
balustrade	balustrade
banalite	banality
barde	bard
barrage	barrage
barrette	barrette
barrette	barret
basque	basque
basson	bassoon
bastide	bastide
bastille	bastille
bat	bat
bateau	bateau
batiste	batiste
baton	baton
belle	belle
bercelonette	bassinet
beret	beret
bernadette	bernadette
besancon	besancon
bichon	bichon
bidet	bidet
bigot	bigot
bigoterie	bigotry
bijou	bijou
